collisions,steps,timestamp
9.0,716.0,1551182977.5802062
11.0,717.0,1551182977.5942771
8.0,718.0,1551182977.611007
8.0,719.0,1551182977.6234639
11.0,720.0,1551182977.631433
6.0,721.0,1551182977.6454248
9.0,722.0,1551182977.659808
8.0,723.0,1551182977.676233
9.0,724.0,1551182977.691515
8.0,725.0,1551182977.707345
7.0,726.0,1551182977.723338
8.0,727.0,1551182977.7311602
5.0,728.0,1551182977.746559
9.0,729.0,1551182977.763489
3.0,730.0,1551182977.776308
8.0,731.0,1551182977.7918332
4.0,732.0,1551182977.807412
6.0,733.0,1551182977.816242
7.0,734.0,1551182977.833689
6.0,735.0,1551182977.843478
7.0,736.0,1551182977.856461
5.0,737.0,1551182977.872957
7.0,738.0,1551182977.881715
6.0,739.0,1551182977.895107
7.0,740.0,1551182977.909274
7.0,741.0,1551182977.9222138
8.0,742.0,1551182977.928543
8.0,743.0,1551182977.942786
10.0,744.0,1551182977.95954
8.0,745.0,1551182977.9722729
9.0,746.0,1551182977.979152
11.0,747.0,1551182977.996615
9.0,748.0,1551182978.009345
10.0,749.0,1551182978.023791
10.0,750.0,1551182978.030171
5.0,751.0,1551182978.044755
6.0,752.0,1551182978.063971
8.0,753.0,1551182978.082846
10.0,754.0,1551182978.0942001
8.0,755.0,1551182978.107754
7.0,756.0,1551182978.124662
9.0,757.0,1551182978.140384
9.0,758.0,1551182978.1466172
8.0,759.0,1551182978.160324
6.0,760.0,1551182978.173354
8.0,761.0,1551182978.1806889
8.0,762.0,1551182978.194603
9.0,763.0,1551182978.210361
6.0,764.0,1551182978.223358
5.0,765.0,1551182978.2305331
7.0,766.0,1551182978.248616
7.0,767.0,1551182978.266311
8.0,768.0,1551182978.277169
10.0,769.0,1551182978.291255
7.0,770.0,1551182978.307036
8.0,771.0,1551182978.315309
7.0,772.0,1551182978.3305988
10.0,773.0,1551182978.347299
6.0,774.0,1551182978.3605819
9.0,775.0,1551182978.376927
12.0,776.0,1551182978.3900878
12.0,777.0,1551182978.3963351
9.0,778.0,1551182978.410443
10.0,779.0,1551182978.425948
5.0,780.0,1551182978.439689
8.0,781.0,1551182978.45739
4.0,782.0,1551182978.4636428
6.0,783.0,1551182978.4788759
6.0,784.0,1551182978.495859
3.0,785.0,1551182978.510156
4.0,786.0,1551182978.5265942
4.0,787.0,1551182978.544523
6.0,788.0,1551182978.557442
6.0,789.0,1551182978.564338
10.0,790.0,1551182978.5804312
6.0,791.0,1551182978.593591
5.0,792.0,1551182978.6074262
7.0,793.0,1551182978.613662
6.0,794.0,1551182978.627061
6.0,795.0,1551182978.6410828
8.0,796.0,1551182978.646961
7.0,797.0,1551182978.660874
7.0,798.0,1551182978.677182
6.0,799.0,1551182978.693155
8.0,800.0,1551182978.709704
9.0,801.0,1551182978.72317
9.0,802.0,1551182978.740888
11.0,803.0,1551182978.757183
7.0,804.0,1551182978.764569
6.0,805.0,1551182978.7772212
6.0,806.0,1551182978.793143
6.0,807.0,1551182978.8093
7.0,808.0,1551182978.822289
6.0,809.0,1551182978.829786
8.0,810.0,1551182978.842779
5.0,811.0,1551182978.859694
9.0,812.0,1551182978.875416
9.0,813.0,1551182978.889451
10.0,814.0,1551182978.906698
12.0,815.0,1551182978.9128041
7.0,816.0,1551182978.9263911
10.0,817.0,1551182978.942637
10.0,818.0,1551182978.9552839
9.0,819.0,1551182978.974268
9.0,820.0,1551182978.989552
10.0,821.0,1551182979.0077949
8.0,822.0,1551182979.022707
11.0,823.0,1551182979.0423748
11.0,824.0,1551182979.058516
10.0,825.0,1551182979.073309
10.0,826.0,1551182979.080958
10.0,827.0,1551182979.096071
9.0,828.0,1551182979.108883
9.0,829.0,1551182979.121543
10.0,830.0,1551182979.1279528
9.0,831.0,1551182979.143948
12.0,832.0,1551182979.161943
10.0,833.0,1551182979.1771772
13.0,834.0,1551182979.19379
12.0,835.0,1551182979.207823
7.0,836.0,1551182979.222882
7.0,837.0,1551182979.2320378
4.0,838.0,1551182979.250767
5.0,839.0,1551182979.259524
5.0,840.0,1551182979.2750368
5.0,841.0,1551182979.292487
7.0,842.0,1551182979.3062809
5.0,843.0,1551182979.313774
7.0,844.0,1551182979.331728
5.0,845.0,1551182979.344682
6.0,846.0,1551182979.359166
6.0,847.0,1551182979.371978
6.0,848.0,1551182979.38082
6.0,849.0,1551182979.3982909
7.0,850.0,1551182979.411923
8.0,851.0,1551182979.427592
7.0,852.0,1551182979.440604
6.0,853.0,1551182979.455955
9.0,854.0,1551182979.474466
7.0,855.0,1551182979.480376
8.0,856.0,1551182979.497347
8.0,857.0,1551182979.513205
10.0,858.0,1551182979.5259452
9.0,859.0,1551182979.5388942
9.0,860.0,1551182979.5456672
9.0,861.0,1551182979.563673
10.0,862.0,1551182979.579356
10.0,863.0,1551182979.591827
8.0,864.0,1551182979.607224
6.0,865.0,1551182979.6236339
8.0,866.0,1551182979.631028
8.0,867.0,1551182979.646604
8.0,868.0,1551182979.6623979
11.0,869.0,1551182979.6756952
6.0,870.0,1551182979.6901572
12.0,871.0,1551182979.7099662
12.0,872.0,1551182979.722612
11.0,873.0,1551182979.7296
6.0,874.0,1551182979.743992
9.0,875.0,1551182979.7581298
7.0,876.0,1551182979.7726002
9.0,877.0,1551182979.780276
7.0,878.0,1551182979.793708
10.0,879.0,1551182979.8101099
12.0,880.0,1551182979.826616
8.0,881.0,1551182979.8397
7.0,882.0,1551182979.84806
5.0,883.0,1551182979.864306
6.0,884.0,1551182979.872104
7.0,885.0,1551182979.8798862
8.0,886.0,1551182979.897005
7.0,887.0,1551182979.9119391
8.0,888.0,1551182979.9288802
8.0,889.0,1551182979.94306
6.0,890.0,1551182979.9580958
5.0,891.0,1551182979.973307
5.0,892.0,1551182979.979668
